,positive,trust,anticipation,joy,negative,sadness,anger,fear,surprise,disgust,outcome
116,18.0,14.0,7.0,4.0,6.0,2.0,3.0,3.0,2.0,1.0,0
117,9.0,8.0,7.0,3.0,5.0,0.0,2.0,3.0,3.0,0.0,0
118,39.0,33.0,6.0,4.0,19.0,6.0,5.0,8.0,10.0,4.0,1
119,37.0,32.0,10.0,5.0,13.0,2.0,3.0,4.0,2.0,6.0,1
120,50.0,34.0,27.0,15.0,16.0,7.0,8.0,8.0,8.0,5.0,0
121,31.0,25.0,3.0,2.0,5.0,3.0,4.0,8.0,4.0,1.0,1
122,92.0,103.0,21.0,10.0,13.0,4.0,5.0,4.0,4.0,4.0,1
123,26.0,28.0,7.0,6.0,11.0,4.0,6.0,7.0,6.0,2.0,1
124,31.0,25.0,3.0,2.0,5.0,3.0,4.0,8.0,4.0,1.0,1
125,4.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0
126,4.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0
127,37.0,15.0,6.0,5.0,4.0,1.0,2.0,1.0,1.0,0.0,1
128,24.0,17.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1
129,50.0,32.0,22.0,17.0,5.0,1.0,3.0,2.0,11.0,0.0,1
130,19.0,20.0,4.0,3.0,6.0,3.0,5.0,4.0,0.0,5.0,1
131,8.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
132,20.0,15.0,11.0,9.0,0.0,0.0,0.0,3.0,4.0,0.0,0
133,19.0,20.0,4.0,3.0,6.0,3.0,5.0,4.0,0.0,5.0,1
134,8.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
135,20.0,15.0,11.0,9.0,0.0,0.0,0.0,3.0,4.0,0.0,0
136,29.0,22.0,4.0,0.0,8.0,2.0,1.0,4.0,2.0,1.0,1
137,81.0,58.0,17.0,13.0,18.0,5.0,4.0,11.0,9.0,0.0,1
138,36.0,30.0,10.0,8.0,21.0,6.0,12.0,8.0,2.0,5.0,1
139,10.0,9.0,6.0,6.0,2.0,2.0,2.0,1.0,3.0,1.0,0
140,36.0,19.0,5.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1
141,75.0,74.0,35.0,26.0,15.0,2.0,4.0,4.0,6.0,1.0,1
142,69.0,41.0,19.0,15.0,16.0,10.0,12.0,12.0,10.0,2.0,0
143,78.0,70.0,21.0,19.0,15.0,7.0,3.0,6.0,3.0,3.0,1
144,28.0,24.0,10.0,4.0,18.0,11.0,13.0,17.0,9.0,9.0,1
145,43.0,46.0,13.0,2.0,19.0,6.0,9.0,9.0,4.0,10.0,1
146,51.0,40.0,21.0,7.0,12.0,1.0,7.0,9.0,2.0,1.0,0
147,93.0,71.0,33.0,23.0,32.0,10.0,17.0,19.0,11.0,10.0,1
148,22.0,13.0,4.0,2.0,7.0,5.0,2.0,1.0,3.0,1.0,0
149,21.0,17.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,5.0,1
150,27.0,21.0,9.0,8.0,7.0,1.0,7.0,5.0,7.0,2.0,1
151,27.0,21.0,9.0,8.0,7.0,1.0,7.0,5.0,7.0,2.0,1
152,37.0,22.0,7.0,8.0,6.0,4.0,5.0,5.0,5.0,1.0,0
153,51.0,133.0,20.0,23.0,19.0,11.0,8.0,15.0,14.0,6.0,0
154,27.0,20.0,9.0,2.0,11.0,2.0,4.0,4.0,2.0,1.0,0
155,50.0,38.0,19.0,9.0,23.0,11.0,15.0,17.0,14.0,4.0,0
156,34.0,18.0,2.0,4.0,14.0,6.0,1.0,1.0,2.0,2.0,1
157,103.0,67.0,40.0,30.0,32.0,10.0,22.0,22.0,18.0,7.0,0
158,25.0,19.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1
159,27.0,24.0,9.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,1
160,25.0,25.0,7.0,5.0,5.0,1.0,2.0,5.0,2.0,0.0,0
161,35.0,22.0,6.0,6.0,9.0,3.0,2.0,4.0,3.0,3.0,1
162,115.0,78.0,38.0,34.0,41.0,15.0,29.0,43.0,22.0,11.0,0
163,32.0,15.0,7.0,4.0,5.0,1.0,6.0,4.0,6.0,1.0,0
164,54.0,45.0,18.0,16.0,13.0,5.0,9.0,10.0,7.0,0.0,0
165,51.0,38.0,27.0,21.0,10.0,3.0,6.0,10.0,7.0,1.0,0
166,30.0,20.0,9.0,5.0,8.0,3.0,5.0,6.0,2.0,1.0,0
167,80.0,81.0,22.0,16.0,21.0,2.0,10.0,9.0,3.0,1.0,1
168,80.0,81.0,22.0,16.0,21.0,2.0,10.0,9.0,3.0,1.0,1
169,22.0,19.0,8.0,2.0,7.0,0.0,3.0,2.0,2.0,1.0,0
170,24.0,23.0,8.0,3.0,7.0,2.0,1.0,4.0,1.0,1.0,1
171,16.0,9.0,7.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,1
172,28.0,28.0,8.0,2.0,7.0,3.0,3.0,4.0,2.0,1.0,1
173,102.0,69.0,17.0,57.0,7.0,4.0,1.0,2.0,3.0,1.0,1
174,32.0,28.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0
175,32.0,28.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0
176,17.0,13.0,7.0,1.0,7.0,1.0,3.0,1.0,0.0,0.0,0
177,24.0,16.0,7.0,8.0,15.0,5.0,4.0,5.0,6.0,1.0,0
178,58.0,50.0,19.0,21.0,17.0,6.0,15.0,6.0,2.0,1.0,1
179,68.0,50.0,19.0,9.0,14.0,6.0,12.0,13.0,4.0,5.0,0
180,28.0,21.0,8.0,5.0,6.0,3.0,4.0,5.0,1.0,3.0,0
181,17.0,12.0,6.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0
182,21.0,7.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,0.0,0
183,32.0,24.0,9.0,4.0,18.0,11.0,16.0,12.0,2.0,0.0,0
184,29.0,17.0,18.0,11.0,12.0,9.0,4.0,4.0,3.0,0.0,0
185,130.0,104.0,37.0,36.0,25.0,8.0,12.0,24.0,7.0,5.0,1
186,10.0,11.0,4.0,4.0,5.0,0.0,1.0,1.0,1.0,0.0,0
187,21.0,19.0,6.0,5.0,2.0,0.0,1.0,2.0,2.0,0.0,1
188,9.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0
189,9.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0
190,29.0,22.0,6.0,12.0,6.0,1.0,4.0,4.0,8.0,0.0,0
191,117.0,85.0,40.0,34.0,50.0,23.0,35.0,31.0,22.0,12.0,0
192,59.0,38.0,12.0,16.0,20.0,3.0,13.0,14.0,4.0,1.0,0
193,21.0,19.0,5.0,11.0,3.0,1.0,2.0,1.0,4.0,0.0,0
194,21.0,19.0,5.0,11.0,3.0,1.0,2.0,1.0,4.0,0.0,0
195,36.0,18.0,11.0,8.0,15.0,8.0,7.0,11.0,4.0,3.0,0
196,22.0,16.0,2.0,0.0,7.0,1.0,1.0,2.0,0.0,0.0,1
197,39.0,39.0,10.0,7.0,15.0,3.0,6.0,7.0,0.0,0.0,1
198,77.0,69.0,29.0,16.0,28.0,8.0,21.0,25.0,1.0,2.0,0
199,18.0,12.0,3.0,4.0,10.0,8.0,2.0,2.0,1.0,0.0,0
200,33.0,22.0,10.0,6.0,7.0,2.0,4.0,6.0,2.0,1.0,0
201,93.0,109.0,20.0,11.0,10.0,3.0,5.0,6.0,10.0,4.0,1
202,93.0,109.0,20.0,11.0,10.0,3.0,5.0,6.0,10.0,4.0,1
203,92.0,73.0,27.0,26.0,26.0,10.0,21.0,22.0,6.0,5.0,1
204,26.0,20.0,8.0,5.0,7.0,2.0,0.0,1.0,3.0,2.0,0
205,30.0,17.0,12.0,3.0,18.0,10.0,7.0,12.0,2.0,5.0,0
206,31.0,18.0,7.0,6.0,3.0,1.0,1.0,1.0,3.0,1.0,0
207,35.0,23.0,9.0,7.0,17.0,7.0,6.0,7.0,2.0,1.0,0
208,285.0,154.0,90.0,73.0,85.0,37.0,24.0,50.0,22.0,17.0,1
209,72.0,36.0,19.0,12.0,29.0,12.0,11.0,13.0,6.0,8.0,0
210,16.0,17.0,4.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,0
211,104.0,88.0,39.0,28.0,36.0,17.0,18.0,21.0,10.0,5.0,0
212,230.0,118.0,56.0,37.0,84.0,26.0,43.0,62.0,21.0,21.0,1
213,339.0,223.0,110.0,81.0,155.0,55.0,75.0,104.0,63.0,33.0,1
214,49.0,45.0,14.0,7.0,8.0,3.0,3.0,5.0,2.0,0.0,0
215,230.0,118.0,56.0,37.0,84.0,26.0,43.0,62.0,21.0,21.0,1
216,12.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,0.0,0
217,14.0,5.0,3.0,5.0,5.0,1.0,3.0,3.0,1.0,0.0,0
218,16.0,6.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,0
219,28.0,18.0,10.0,8.0,7.0,4.0,2.0,4.0,0.0,2.0,0
220,23.0,16.0,3.0,4.0,5.0,0.0,3.0,0.0,3.0,0.0,1
221,20.0,13.0,5.0,4.0,6.0,3.0,3.0,4.0,4.0,1.0,0
222,55.0,45.0,8.0,7.0,12.0,3.0,8.0,13.0,3.0,0.0,0
223,13.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,0.0,0
224,69.0,42.0,27.0,18.0,29.0,14.0,23.0,23.0,17.0,5.0,0
225,38.0,25.0,10.0,10.0,3.0,2.0,4.0,5.0,3.0,1.0,0
226,29.0,28.0,28.0,10.0,1.0,1.0,3.0,4.0,1.0,1.0,0
227,69.0,42.0,27.0,18.0,29.0,14.0,23.0,23.0,17.0,5.0,0
228,75.0,72.0,49.0,29.0,13.0,10.0,11.0,17.0,6.0,5.0,0
229,26.0,16.0,8.0,5.0,4.0,3.0,3.0,5.0,5.0,0.0,0
230,31.0,27.0,2.0,4.0,9.0,2.0,3.0,3.0,2.0,3.0,1
231,33.0,22.0,9.0,7.0,7.0,1.0,3.0,3.0,1.0,0.0,0
232,24.0,25.0,8.0,10.0,6.0,5.0,3.0,5.0,3.0,2.0,0
233,24.0,5.0,3.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,1
234,636.0,520.0,217.0,349.0,313.0,173.0,185.0,221.0,230.0,128.0,0
235,39.0,25.0,7.0,4.0,2.0,0.0,4.0,4.0,0.0,2.0,0
236,40.0,33.0,16.0,6.0,11.0,5.0,2.0,5.0,3.0,0.0,1
237,43.0,26.0,12.0,12.0,6.0,0.0,1.0,1.0,1.0,0.0,0
238,24.0,18.0,6.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,1
239,116.0,79.0,34.0,35.0,55.0,26.0,25.0,46.0,24.0,7.0,1
240,36.0,39.0,10.0,7.0,15.0,4.0,4.0,2.0,3.0,1.0,1
241,42.0,26.0,15.0,5.0,3.0,0.0,2.0,6.0,0.0,0.0,0
242,38.0,30.0,8.0,5.0,8.0,4.0,8.0,10.0,2.0,3.0,0
